"dolphin_id","birthdate","tsd","sex","proportion_groups","proportion_social"
"ID_595",1997-09-15,0,"MALE",NA,NA
"ID_761",2014-11-01,0,NA,NA,NA
"ID_759",2004-01-01,0,"FEMALE",0.647356580427447,0.00361663652802893
"ID_773",2013-01-01,0,NA,NA,NA
"ID_530",2003-05-01,0,NA,NA,NA
"ID_457",1998-12-15,0,"MALE",0.940663176265271,0.184615384615385
"ID_735",2000-11-01,0,"MALE",0.703883495145631,0.0143769968051118
"ID_21",2000-10-01,0,NA,0.426356589147287,0.0261538461538462
"ID_603",1998-12-12,0,"FEMALE",0.818397344713134,0.0452596474511672
"ID_116",2000-10-28,0,NA,NA,NA
"ID_215",1995-11-01,0,"MALE",NA,NA
"ID_821",2003-01-21,0,"MALE",0.850715746421268,0.0412470023980815
"ID_878",2002-11-01,0,"FEMALE",NA,NA
"ID_461",1996-12-12,0,"FEMALE",NA,NA
"ID_1115",1994-11-20,0,"MALE",0.648021108179419,0.0945337620578778
"ID_1243",2007-11-20,0,NA,0.508196721311475,0
"ID_660",2009-11-20,0,"MALE",NA,0.256189451022605
"ID_1381",1997-11-01,0,"FEMALE",NA,NA
"ID_280",1997-12-01,0,NA,NA,NA
"ID_704",1988-10-06,0,"MALE",0.508819538670285,0.0597576264103636
"ID_589",1990-10-01,0,"FEMALE",NA,NA
"ID_1262",2000-11-01,0,NA,NA,NA
"ID_487",1995-11-01,0,NA,NA,NA
"ID_653",2012-11-01,0,"MALE",0.488372093023256,0.00500834724540901
"ID_1190",1996-10-18,0,NA,NA,NA
"ID_893",2006-01-15,0,NA,0.579831932773109,0.115961800818554
"ID_70",1999-10-15,0,"FEMALE",0.25,0.0530474040632054
"ID_481",2015-05-10,0,NA,NA,NA
"ID_736",1988-11-01,0,"MALE",0.598387096774194,0.0108827085852479
"ID_790",1993-12-22,0,"FEMALE",NA,NA
"ID_1258",1998-11-01,0,"FEMALE",0.0476190476190476,0
"ID_1260",1990-12-01,0,"FEMALE",0.699746835443038,0.0470701248799232
"ID_1166",2004-11-20,0,"MALE",NA,NA
"ID_1400",2003-11-19,0,"FEMALE",0.398279041180086,0.0653654108034498
"ID_1038",1996-11-01,0,NA,NA,NA
"ID_964",2004-11-15,0,NA,NA,NA
"ID_738",2002-11-24,0,NA,NA,NA
"ID_511",2004-12-01,0,NA,NA,NA
"ID_1415",2014-01-01,0,"MALE",NA,NA
"ID_1126",2003-12-01,0,"FEMALE",NA,NA
"ID_946",1995-11-01,0,"FEMALE",NA,NA
"ID_233",2007-11-13,0,"FEMALE",0.759639048400328,0.0901690670006262
"ID_338",2009-11-08,0,"FEMALE",0.697749196141479,0.0186915887850467
"ID_285",2002-11-30,0,"MALE",0.535714285714286,0.047244094488189
"ID_1078",1997-11-01,0,"FEMALE",NA,NA
"ID_604",2003-11-01,0,NA,NA,NA
"ID_617",1996-10-18,0,"FEMALE",0.536351165980796,0.0292072322670376
"ID_1322",2015-03-01,0,NA,NA,NA
"ID_1100",2002-10-01,0,"MALE",0.415026833631485,0.090017825311943
"ID_398",1990-11-27,0,"FEMALE",NA,NA
"ID_395",2005-12-10,0,"FEMALE",0.763392857142857,0.187556357078449
"ID_475",1992-11-15,0,NA,NA,NA
"ID_668",1995-08-23,0,"MALE",0.0341207349081365,0.0742417383431417
"ID_772",1995-11-01,0,NA,NA,NA
"ID_379",1997-10-15,0,"FEMALE",NA,NA
"ID_1451",1998-11-01,0,NA,NA,NA
"ID_8",2004-05-07,0,"MALE",0.590225563909774,0.0987654320987654
"ID_923",1998-11-15,0,"MALE",0.446315789473684,0.0848153214774282
"ID_693",2012-12-15,0,NA,NA,NA
"ID_93",1990-11-01,0,"MALE",0.359827070169604,0.0755706354102406
"ID_612",2001-11-01,0,"FEMALE",NA,NA
"ID_555",2011-11-25,0,NA,NA,NA
"ID_925",2009-12-27,0,"FEMALE",NA,NA
"ID_197",2003-11-01,0,"MALE",0.882703777335984,0.00386100386100386
"ID_1434",1997-12-13,0,"FEMALE",0.857539958304378,0.142660234321158
"ID_769",1994-12-01,0,"FEMALE",0.413669064748201,0.0467741935483871
"ID_642",2002-02-15,0,"FEMALE",0.732106339468303,0.0436681222707424
"ID_993",2005-11-20,0,"MALE",0.442094662638469,0.0341708542713568
